tileswide 25
tileshigh 20
tilewidth 64
tileheight 64

layer 0
43,2,2,2,2,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
30,2,2,2,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
2,2,2,2,2,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
2,0,15,15,0,2,30,30,30,30,30,30,30,30,30,30,2,2,2,2,2,2,2,2,2,
2,0,15,15,0,2,30,30,30,30,30,30,30,30,30,30,2,0,0,0,0,0,0,0,0,
2,0,15,15,0,2,30,30,30,30,30,30,30,30,30,30,2,0,15,15,15,15,15,15,15,
2,0,15,15,0,2,2,30,30,30,30,30,30,30,30,30,2,0,15,15,15,15,15,15,15,
2,0,15,15,0,2,2,2,2,2,2,2,2,2,2,2,2,0,15,15,0,0,0,0,0,
2,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,2,41,41,41,
2,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,2,30,30,30,
2,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,2,30,30,30,
2,2,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,2,2,30,30,30,
41,41,41,41,41,41,41,41,2,0,15,15,0,2,2,2,2,2,2,2,2,2,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,15,0,2,30,30,30,30,30,30,30,30,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,0,0,2,30,30,30,30,30,30,30,30,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,0,2,2,30,30,30,30,30,30,30,30,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,0,2,30,30,30,30,30,30,30,30,30,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,0,2,30,30,30,30,30,30,30,30,30,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,0,2,30,30,30,30,30,30,30,30,30,30,30,30,
30,30,30,30,30,30,30,30,2,0,15,0,2,30,30,30,30,30,30,30,30,30,30,30,30,

